timestamp,location,latitude,longitude,altitude,distance,comment
08 March 2018 14:00:00,Shyaphru Besi,,,1460,8,start
08 March 2018 16:30:00,Bamboo,,,1970,,sleep
09 March 2018 07:50:00,Bamboo,,,1970,,start
09 March 2018 13:50:00,New Langtang,,,3430,,lunch
09 March 2018 17:10:00,Kyanjin Gompa,,,3830,,sleep
10 March 2018 07:35:00,Kyanjin Gompa,,,3830,,start
10 March 2018 09:10:00,Kyanjin Ri Peak,,,4650,,peak
10 March 2018 09:45:00,Kyanjin Ri Lower Peak,,,4300,,peak
10 March 2018 11:00:00,Kyanjin Gompa,,,3830,,lunch
10 March 2018 15:15:00,Riverside,,,2769,,snack
10 March 2018 18:00:00,Domen,,,1672,,sleep
11 March 2018 07:15:00,Domen,,,1672,,start
11 March 2018 08:00:00,Shyaphru Besi,,,1460,,end